railway,station,x,y,tokyo
沖縄都市モノレール線,壺川,-1220282,-1028068,1568759
沖縄都市モノレール線,牧志,-1218725,-1026932,1566835
沖縄都市モノレール線,安里,-1218407,-1027004,1566635
沖縄都市モノレール線,県庁前,-1220096,-1027110,1568009
沖縄都市モノレール線,美栄橋,-1219527,-1026624,1567261
沖縄都市モノレール線,旭橋,-1220510,-1027347,1568480
沖縄都市モノレール線,儀保,-1215938,-1026360,1564316
沖縄都市モノレール線,那覇空港,-1222917,-1027718,1570578
沖縄都市モノレール線,首里,-1215355,-1027019,1564283
沖縄都市モノレール線,おもろまち,-1218066,-1026366,1565966
沖縄都市モノレール線,市立病院前,-1216822,-1025955,1564743
沖縄都市モノレール線,小禄,-1221531,-1028996,1570313
沖縄都市モノレール線,赤嶺,-1222211,-1029303,1571035
沖縄都市モノレール線,奥武山公園,-1220655,-1028614,1569394
会津線,養鱒公園,753,135871,170744
会津線,七ヶ岳登山口,-10303,124743,159536
会津線,湯野上温泉,5482,144697,179806
会津線,芦ノ牧温泉,8757,154840,190156
会津線,南若松,7175,161905,197088
会津線,田島高校前,-2888,134211,168978
会津線,会津荒海,-8850,127974,162735
会津線,ふるさと公園,2279,137952,172891
会津線,中荒井,-7316,130960,165702
会津線,会津下郷,2804,139274,174237
会津線,門田,7118,160076,195259
会津線,塔のへつり,6045,141428,176582
会津線,会津田島,-5239,133514,168253
会津線,あまや,7458,157256,192469
会津線,会津山村道場,-9023,126963,161727
会津線,芦ノ牧温泉南,7560,148089,183334
会津線,大川ダム公園,7747,149447,184702
会津線,会津長野,-842,134848,169666
会津線,弥五島,5024,140514,175602
会津線,西若松,7147,164885,200059
会津線,会津高原尾瀬口,-11397,120955,155783
岳南線,岳南原田,-102823,-91930,112389
岳南線,須津,-100159,-92584,110445
岳南線,ジヤトコ前(ジヤトコ1地区前),-104160,-92839,114002
岳南線,比奈,-102006,-92451,111954
岳南線,岳南富士岡,-101117,-92520,111229
岳南線,吉原,-103157,-94329,113913
岳南線,吉原本町,-104184,-92505,113853
岳南線,岳南江尾,-98533,-93181,109381
岳南線,本吉原,-103902,-92375,113544
岳南線,神谷,-99329,-92536,109714
甘木線,基山,-866469,-247107,886216
甘木線,松崎,-862030,-249919,882588
甘木線,大板井,-864007,-249881,884497
甘木線,高田,-857032,-248741,877454
甘木線,小郡,-864758,-249928,885237
甘木線,立野,-865905,-248131,885914
甘木線,今隈,-860848,-249530,881347
甘木線,西太刀洗,-860353,-249163,880778
甘木線,山隈,-859272,-248557,879582
甘木線,甘木,-855220,-248366,875606
甘木線,太刀洗,-858451,-248645,878807
常総線,大宝,12306,22549,60163
常総線,黒子,12731,27436,64955
常総線,下館,13010,33723,71071
常総線,騰波ノ江,12851,24776,62450
常総線,下妻,11796,20232,57801
常総線,大田郷,11353,30881,67893
常総線,中妻,14179,5256,44829
常総線,寺原,19988,-9771,36091
常総線,宗道,12350,17052,54969
常総線,戸頭,16329,-7821,35020
常総線,取手,20808,-11360,35625
常総線,北水海道,14373,3572,43425
常総線,石下,12697,12996,51292
常総線,守谷,14325,-5444,35695
常総線,新取手,18846,-9115,35742
常総線,西取手,20407,-10118,36158
常総線,南守谷,15287,-7299,34773
常総線,稲戸井,17087,-8180,35238
常総線,小絹,13527,-2082,38086
常総線,南石下,12660,11360,49759
常総線,三妻,13490,8160,47148
常総線,玉村,12296,15043,53062
常総線,水海道,14246,1988,41973
常総線,新守谷,13749,-3716,36814
竜ヶ崎線,入地,29231,-8936,43728
竜ヶ崎線,竜ヶ崎,31189,-10090,44677
竜ヶ崎線,佐貫,27515,-7789,43063
紀州鉄道線,紀伊御坊,-432902,-223707,466788
紀州鉄道線,御坊,-432464,-222250,465799
紀州鉄道線,市役所前,-433092,-224226,467172
紀州鉄道線,西御坊,-433111,-224588,467337
紀州鉄道線,学門,-432717,-223504,466537
井の頭線,井の頭公園,-22643,-33554,16610
井の頭線,吉祥寺,-22896,-32999,16911
井の頭線,三鷹台,-22086,-34138,16022
井の頭線,駒場東大前,-13514,-37858,8067
