station,x,y,tokyo
海芝浦,-12036,-57002,23049
菊名,-18325,-54288,23072
初富,15110,-25285,23198
浦和美園,-9524,-11791,23203
武蔵野台,-29155,-37214,23212
仲町台,-22109,-51526,23216
北新横浜,-19997,-53317,23218
北浦和,-16938,-14162,23266
花小金井,-28950,-30335,23294
あざみ野,-25360,-47805,23296
新津田沼,17233,-34356,23311
京王よみうりランド,-28624,-40674,23317
白糸台,-29315,-36973,23347
飯山満,17097,-31713,23368
新鎌ヶ谷,14918,-24438,23383
京成津田沼,17334,-35081,23411
センター南,-23466,-50424,23421
南与野,-18266,-14697,23456
武蔵小金井,-29627,-33119,23608
前原,17572,-33193,23698
鎌ヶ谷大仏,16332,-26849,23754
北越谷,-4825,-10903,23866
新横浜,-19601,-54445,23903
多磨霊園,-29985,-36965,24014
妙蓮寺,-18146,-55589,24094
江田,-25557,-48941,24110
大口,-16966,-56310,24166
六実,14996,-22874,24180
清瀬,-28339,-25254,24199
滝不動,17452,-29049,24205
百合ヶ丘,-28742,-43330,24241
高根公団,17739,-29890,24302
京急新子安,-16103,-56874,24303
稲城長沼,-29949,-39415,24328
柳瀬川,-24472,-18764,24363
競艇場前,-30212,-38090,24369
南柏,10925,-17224,24407
新子安,-16268,-56922,24415
二和向台,17218,-27288,24455
東府中,-30593,-36695,24596
薬園台,18402,-32254,24602
高根木戸,18242,-30313,24716
三咲,17654,-27809,24719
新柏,12078,-17953,24723
稲城,-30175,-40317,24737
与野,-17546,-12810,24745
増尾,12919,-18871,24748
逆井,13587,-19596,24816
小机,-21200,-54488,24877
都筑ふれあいの丘,-24667,-51382,24954
京成幕張本郷,18860,-36267,24982
与野本町,-18719,-13191,24982
子安,-17086,-57166,24986
高柳,14969,-21255,24992
幕張本郷,18896,-36269,25018
流山おおたかの森,8273,-14224,25032
新百合ヶ丘,-29523,-43917,25182
岸根公園,-19668,-55948,25193
習志野,18951,-31557,25227
白楽,-18636,-56614,25227
北習志野,18894,-30897,25262
海浜幕張,18894,-38988,25329
市が尾,-26480,-49745,25330
豊四季,9567,-14802,25339
是政,-31210,-38089,25357
南多摩,-31130,-38863,25393
神奈川新町,-17527,-57505,25486
府中競馬正門前,-31519,-36738,25523
京成大久保,19484,-34823,25559
みずほ台,-25525,-17914,25715
東所沢,-28814,-22709,25724
小平,-31196,-29133,25738
東白楽,-18493,-57294,25749
初石,7636,-12884,25798
北与野,-18492,-12108,25811
さいたま新都心,-18003,-11786,25865
国分寺,-31897,-33211,25867
府中,-31976,-36311,25949
仲木戸,-18004,-57943,26093
東神奈川,-18164,-57907,26134
一橋学園,-31960,-30773,26186
片倉町,-20587,-56557,26205
府中本町,-32236,-37010,26260
西白井,17936,-23897,26344
川和町,-25788,-52278,26387
大袋,-4998,-8364,26394
秋津,-30415,-24525,26395
京成幕張,20166,-37644,26401
